,2,3,4,5,6,7,8,9,10,A
2+2,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
3+3,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
4+4,HIT,HIT,HIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT,HIT
5+5,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT
6+6,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT,HIT
7+7,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
8+8,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SURRERNDER
9+9,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,STAY,SPLIT,SPLIT,STAY,STAY
10+10,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY,STAY
A+A,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT
